"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
GO:0009314,GO:0009314,response to radiation,112/591,443/18493,2.51E-69,1.37E-65,5.68E-66,AKT1/ATM/ATP8A2/ATR/BABAM2/BAK1/BAX/BCL2/BCL2L1/BRAF/BRCA1/CASP3/CASP9/CAT/CCND1/CDC25A/CDKN1A/CDS1/CHEK1/CHEK2/CREB1/DCLRE1C/EGFR/EGR1/ERCC1/ERCC2/ERCC6/FANCD2/FANCG/GADD45A/GATA3/GPX1/H2AFX/HIF1A/HRAS/HUS1/ICAM1/IFI16/ITGB1/JUN/JUNB/KAT5/KIT/KRAS/LIG4/MAPK14/MAPK8/MDM2/MGMT/MSH2/MSH6/MTA1/MTOR/MYC/NHEJ1/NPM1/OGG1/PARP1/PCNA/PER2/PML/POLB/PPM1D/PRKDC/PTGS2/PTPRC/RAD1/RAD18/RAD51/RAD9A/RHOB/RNF168/RNF8/RRM1/SIRT1/SMC1A/TGFB1/TP53/TP53BP1/XRCC5/AEN/ANXA1/CCL11/CDK5/CLK2/DDB2/DNM2/DUSP1/EP300/FEN1/FOS/HMGN1/HSF1/JUND/MEN1/PAXIP1/PIAS1/POLH/PPP1CC/STK11/TIGAR/TNFRSF11A/TNKS1BP1/TOPBP1/TXN/TYR/UIMC1/VCAM1/WRN/XPC/XRCC4/XRCC6,112,1
GO:0010212,GO:0010212,response to ionizing radiation,67/591,146/18493,5.61E-61,1.53E-57,6.35E-58,ATM/ATR/BABAM2/BAK1/BAX/BCL2/BCL2L1/BRCA1/CASP3/CCND1/CDKN1A/CHEK2/DCLRE1C/EGR1/ERCC1/ERCC6/FANCD2/GADD45A/GATA3/GPX1/H2AFX/HRAS/HUS1/ICAM1/IFI16/KAT5/LIG4/MAPK14/MDM2/MGMT/MSH2/MTA1/MYC/NHEJ1/PARP1/PML/POLB/PRKDC/PTPRC/RAD1/RAD51/RAD9A/RHOB/RNF168/RNF8/RRM1/SIRT1/TGFB1/TP53/TP53BP1/XRCC5/AEN/ANXA1/CLK2/DNM2/HSF1/MEN1/PAXIP1/STK11/TIGAR/TNKS1BP1/TOPBP1/UIMC1/VCAM1/WRN/XRCC4/XRCC6,67,2
GO:0051052,GO:0051052,regulation of DNA metabolic process,93/591,412/18493,1.40E-52,2.54E-49,1.05E-49,AKT1/APLF/ATM/ATR/BABAM2/BAX/BRCA1/CCNA2/CD40/CDK1/CDK2/CHEK1/CHEK2/CTNNB1/DNA2/EGFR/ERCC1/ERCC2/EREG/FOXP3/GATA3/H2AFX/HGF/HRAS/HSP90AA1/HUS1/IL2/JUN/MGMT/MLH1/MRE11/MSH2/MSH6/MYC/NBN/NPM1/OGG1/PARP1/PCNA/PML/PTK2B/PTPRC/RAC1/RAD17/RAD50/RAD51/RAD52/RIF1/RNF168/RNF8/RPA2/SETD2/SETMAR/SIRT1/SMC1A/SMC3/SRC/TGFB1/TP53/TP53BP1/XRCC1/XRCC5/ACVRL1/ATRX/CDC6/DBF4/DNMT1/DUSP1/FGF2/FGFR1/FOXM1/HSF1/IL10/IL4/LIG3/MEN1/NEK2/PAXIP1/POLH/POLQ/PPARG/RECQL4/RGN/RPS3/TIGAR/TNFSF4/TNKS/TRIM28/UCN/UIMC1/UNG/USP9X/WRN,93,3
GO:0006302,GO:0006302,double-strand break repair,71/591,236/18493,2.43E-49,3.31E-46,1.37E-46,APLF/ATM/BABAM2/BARD1/BRCA1/BRCA2/CHEK1/CHEK2/DCLRE1A/DCLRE1C/DNA2/ERCC1/EXO1/H2AFX/HIST4H4/HUS1/KAT5/LIG4/MDC1/MGMT/MLH1/MRE11/MSH2/MTA1/NBN/NHEJ1/OGG1/PARP1/PML/POLA1/PRKDC/RAD21/RAD50/RAD51/RAD51B/RAD51C/RAD52/RBBP8/RECQL/RIF1/RNF168/RNF8/RPA1/RPA2/SETD2/SETMAR/SPO11/TP53BP1/XRCC1/XRCC5/DCLRE1B/FEN1/FOXM1/HERC2/HSF1/LIG3/PALB2/PARP2/PAXIP1/PIAS4/POLQ/PRPF19/RAD51D/RECQL4/TDP1/TNKS1BP1/UIMC1/WRN/XRCC3/XRCC4/XRCC6,71,4
GO:0051054,GO:0051054,positive regulation of DNA metabolic process,68/591,220/18493,3.89E-48,4.25E-45,1.76E-45,AKT1/APLF/ATM/ATR/BABAM2/BAX/BRCA1/CD40/CDK1/CDK2/CTNNB1/DNA2/EGFR/ERCC1/ERCC2/EREG/H2AFX/HGF/HRAS/HSP90AA1/IL2/JUN/MGMT/MLH1/MRE11/MSH2/MSH6/MYC/NBN/PARP1/PCNA/PML/PTK2B/PTPRC/RAC1/RAD50/RAD51/RIF1/RNF168/RNF8/SETMAR/SIRT1/SRC/TGFB1/TP53BP1/XRCC1/XRCC5/ATRX/DBF4/DNMT1/FGF2/FGFR1/FOXM1/HSF1/IL4/NEK2/PAXIP1/RECQL4/RPS3/TIGAR/TNFSF4/TNKS/TRIM28/UCN/UIMC1/UNG/USP9X/WRN,68,5
GO:0006979,GO:0006979,response to oxidative stress,91/591,441/18493,6.78E-48,6.17E-45,2.56E-45,ABL1/AKT1/APEX1/APOE/BAK1/BCL2/CASP3/CAT/CCNA2/CDK1/CDK2/CTNNB1/CYCS/DHFR/EGFR/ERCC1/ERCC2/ERCC6/FANCC/FANCD2/GCLC/GPX1/GSR/HBB/HGF/HIF1A/HMOX1/HSPB1/IL6/JAK2/JUN/MAPK8/MCL1/MDM2/MGMT/MMP9/NQO1/OGG1/PARP1/PCNA/PML/PRDX1/PRDX2/PRDX5/PTGS2/PTK2B/RAD52/RHOB/RRM2B/SIRT1/SIRT2/SOD1/SOD2/SP1/SRC/STAT1/TAT/TNF/TP53/XRCC1/AKR1C3/ANXA1/CCR7/CD36/DIABLO/DNM2/DUSP1/FOS/FOXO3/G6PD/GPX2/HSF1/HSPD1/IDH1/IL10/LDHA/MT3/NOS3/NOX1/NOX5/NUDT1/PRDX6/PXN/RGN/RPS3/SESN2/TLR4/TRAF2/TXN/UCN/WRN,91,
GO:0097193,GO:0097193,intrinsic apoptotic signaling pathway,71/591,287/18493,6.10E-43,4.76E-40,1.97E-40,ABL1/AKT1/ATM/BAK1/BAX/BCL2/BCL2L1/BRCA1/CASP3/CASP9/CAV1/CDKN1A/CHEK2/CLU/CYCS/DAB2IP/E2F1/ERCC6/ERP29/GPX1/HIF1A/HMOX1/HRAS/HSPB1/IFI16/JAK2/LCK/MCL1/MDM2/MLH1/MMP9/MSH2/MSH6/NBN/PARP1/PML/POLB/PPP1R15A/PRKDC/PTGS2/RAD9A/RRM2B/SIRT1/SOD1/SOD2/SRC/TNF/TP53/AEN/CASP14/CASP2/CD24/DDIT4/DIABLO/EIF2AK3/EP300/HDAC1/HIPK2/HNRNPK/NOX1/PIAS4/PLAUR/RPS3/SNAI1/STK11/TNFRSF1A/TP63/TP73/TRAF2/UBE2K/WWOX,71,
GO:0071214,GO:0071214,cellular response to abiotic stimulus,71/591,319/18493,1.25E-39,7.59E-37,3.14E-37,AGT/AKT1/ATM/ATR/BAK1/BAX/BCL2L1/CASP1/CASP3/CASP8/CASP9/CD40/CDC25A/CDKN1A/CHEK1/CHEK2/EGFR/EGR1/ERCC1/FAS/GADD45A/GATA3/GCLC/H2AFX/HRAS/HUS1/IFI16/IL1B/MAPK14/MAPK8/MDM2/MGMT/MYC/NFKB1/NPM1/PARP1/PCNA/PTEN/PTGS2/RAC1/RAD1/RAD51/RAD9A/RELB/RHOB/SIRT1/TGFB1/TP53/TP53BP1/TSPO/XRCC5/CASP2/CASP8AP2/DDB2/DNM2/EP300/GRM1/HSF1/IL13/IRF1/NOX1/POLH/STK11/TLR4/TLR5/TNFRSF10A/TNFRSF1A/TNKS1BP1/WRN/XPC/XRCC6,71,
GO:0104004,GO:0104004,cellular response to environmental stimulus,71/591,319/18493,1.25E-39,7.59E-37,3.14E-37,AGT/AKT1/ATM/ATR/BAK1/BAX/BCL2L1/CASP1/CASP3/CASP8/CASP9/CD40/CDC25A/CDKN1A/CHEK1/CHEK2/EGFR/EGR1/ERCC1/FAS/GADD45A/GATA3/GCLC/H2AFX/HRAS/HUS1/IFI16/IL1B/MAPK14/MAPK8/MDM2/MGMT/MYC/NFKB1/NPM1/PARP1/PCNA/PTEN/PTGS2/RAC1/RAD1/RAD51/RAD9A/RELB/RHOB/SIRT1/TGFB1/TP53/TP53BP1/TSPO/XRCC5/CASP2/CASP8AP2/DDB2/DNM2/EP300/GRM1/HSF1/IL13/IRF1/NOX1/POLH/STK11/TLR4/TLR5/TNFRSF10A/TNFRSF1A/TNKS1BP1/WRN/XPC/XRCC6,71,6
GO:0006310,GO:0006310,DNA recombination,67/591,282/18493,2.50E-39,1.36E-36,5.65E-37,APEX1/APLF/ATM/BCL11B/BRCA1/BRCA2/CD40/CHEK1/DCLRE1C/ERCC1/ERCC2/EXO1/FOXP3/H2AFX/HUS1/IL2/KIN/LIG4/MLH1/MRE11/MSH2/MSH6/NBN/PARP1/POLB/PRKDC/PTPRC/RAD21/RAD50/RAD51/RAD51B/RAD51C/RAD52/RBBP8/RECQL/RIF1/RNF168/RNF8/RPA1/RPA2/SETD2/SPO11/TGFB1/TP53BP1/XRCC1/XRCC5/ATRX/CENPX/FEN1/HSPD1/IL10/IL4/LIG3/MND1/MSH4/MSH5/PALB2/PAXIP1/POLQ/RAD51D/RECQL4/TNFSF4/UNG/WRN/XRCC3/XRCC4/XRCC6,67,7
