id,main_term,match_ontology,match_term,pubmed_data,pubmed_id,sent_id,journal,impactfactor
702,A1CF,ionradiation,"Gamma Ray",1999,10357780,10357780_12,Carcinogenesis,5.334
704,A1CF,ionradiation,"Gamma Ray",1999,10357780,10357780_2,Carcinogenesis,5.334
703,A1CF,ionradiation,"Gamma Ray",1999,10357780,10357780_3,Carcinogenesis,5.334
701,A1CF,ionradiation,"Radiation, Ionizing",1985,3872855,3872855_2,"International journal of radiation biology and related studies in physics, chemistry, and medicine",0
682,A2M,ionradiation,"Radiation, Ionizing",1977,74077,74077_2,"Radiation and environmental biophysics",1.528
11207,AASDH,ionradiation,"Radiation, Ionizing",2012,22967128,22967128_5,"Radiation research",2.911
14826,AATF,ionradiation,"Radiation, Ionizing",2007,17377493,17377493_3,"Cell cycle (Georgetown, Tex.)",0
14825,AATF,ionradiation,"Radiation, Ionizing",2007,17634135,17634135_3,"Cell division",3.526
14824,AATF,ionradiation,"Radiation, Ionizing",2015,25996291,25996291_9,"Cell death &amp; disease",5.014
11972,ABCA1,ionradiation,"Alpha Particle",2005,15897603,15897603_3,"Journal of lipid research",4.421
11971,ABCA1,ionradiation,"Beta Particle",2006,16647293,16647293_7,"Biochimica et biophysica acta",0
23,ABCA3,ionradiation,"Gamma Ray",2006,16808610,16808610_3,"Radiation research",2.911
22,ABCA3,ionradiation,"Radiation, Ionizing",1976,1062754,1062754_2,"Oral surgery, oral medicine, and oral pathology",0
21,ABCA3,ionradiation,"Radiation, Ionizing",1991,1762120,1762120_3,"Journal of radiation research",1.797
17986,ABCA4,ionradiation,"Radiation, Ionizing",2013,23682980,23682980_2,"Journal of endourology",1.708
12907,ABCB1,ionradiation,"Gamma Ray",2000,10769646,10769646_19,"Anticancer research",1.826
12909,ABCB1,ionradiation,"Gamma Ray",2000,10769646,10769646_5,"Anticancer research",1.826
12910,ABCB1,ionradiation,"Gamma Ray",2011,22006742,22006742_8,"Journal of B.U.ON. : official journal of the Balkan Union of Oncology",0.741
12908,ABCB1,ionradiation,"Gamma Ray",2014,25496313,25496313_8,"Radiation research",2.911
12906,ABCB1,ionradiation,"Radiation, Ionizing",1997,9374872,9374872_6,Biochemistry,3.015
11414,ABCG1,ionradiation,"Radiation, Ionizing",2005,16214912,16214912_3,"Cancer epidemiology, biomarkers &amp; prevention : a publication of the American Association for Can",4.125
5861,ABL1,ionradiation,"Gamma Ray",2000,10871855,10871855_8,Oncogene,8.459
5862,ABL1,ionradiation,"Gamma Ray",1991,1938518,1938518_1,"International journal of radiation oncology, biology, physics",4.258
5810,ABL1,ionradiation,"Radiation, Ionizing",1999,10391251,10391251_5,Nature,41.456
5859,ABL1,ionradiation,"Radiation, Ionizing",1999,10391251,10391251_7,Nature,41.456
5808,ABL1,ionradiation,"Radiation, Ionizing",2000,10625600,10625600_7,"The Journal of biological chemistry",4.573
5834,ABL1,ionradiation,"Radiation, Ionizing",2001,10753870,10753870_2,"The Journal of biological chemistry",4.573
5830,ABL1,ionradiation,"Radiation, Ionizing",2001,10753870,10753870_7,"The Journal of biological chemistry",4.573
5806,ABL1,ionradiation,"Radiation, Ionizing",2000,10805805,10805805_6,"Proceedings of the National Academy of Sciences of the United States of America",9.674
5820,ABL1,ionradiation,"Radiation, Ionizing",2000,10814674,10814674_6,"Journal of the National Cancer Institute",12.583
5840,ABL1,ionradiation,"Radiation, Ionizing",2000,10837221,10837221_8,"Current biology : CB",9.571
